,Years,Timesteps,Region,Carrier,Value
70,Y2,23,reg1,Final_electricity,0.0
71,Y2,24,reg1,Final_electricity,0.0
72,Y3,1,reg1,Final_electricity,0.0
73,Y3,2,reg1,Final_electricity,0.0
74,Y3,3,reg1,Final_electricity,0.0
75,Y3,4,reg1,Final_electricity,0.0
76,Y3,5,reg1,Final_electricity,0.0
77,Y3,6,reg1,Final_electricity,0.0
78,Y3,7,reg1,Final_electricity,0.0
79,Y3,8,reg1,Final_electricity,0.0
80,Y3,9,reg1,Final_electricity,0.0
81,Y3,10,reg1,Final_electricity,0.0
82,Y3,11,reg1,Final_electricity,0.0
83,Y3,12,reg1,Final_electricity,0.0
84,Y3,13,reg1,Final_electricity,0.0
85,Y3,14,reg1,Final_electricity,0.0
86,Y3,15,reg1,Final_electricity,0.0
87,Y3,16,reg1,Final_electricity,0.0
88,Y3,17,reg1,Final_electricity,0.0
89,Y3,18,reg1,Final_electricity,0.0
90,Y3,19,reg1,Final_electricity,0.0
91,Y3,20,reg1,Final_electricity,0.0
92,Y3,21,reg1,Final_electricity,0.0
93,Y3,22,reg1,Final_electricity,0.0
94,Y3,23,reg1,Final_electricity,0.0
95,Y3,24,reg1,Final_electricity,0.0
96,Y4,1,reg1,Final_electricity,0.0
97,Y4,2,reg1,Final_electricity,0.0
98,Y4,3,reg1,Final_electricity,0.0
99,Y4,4,reg1,Final_electricity,0.0
100,Y4,5,reg1,Final_electricity,0.0
101,Y4,6,reg1,Final_electricity,0.0
102,Y4,7,reg1,Final_electricity,0.0
103,Y4,8,reg1,Final_electricity,0.0
104,Y4,9,reg1,Final_electricity,0.0
105,Y4,10,reg1,Final_electricity,0.0
106,Y4,11,reg1,Final_electricity,0.0
107,Y4,12,reg1,Final_electricity,0.0
108,Y4,13,reg1,Final_electricity,0.0
109,Y4,14,reg1,Final_electricity,0.0
110,Y4,15,reg1,Final_electricity,0.0
111,Y4,16,reg1,Final_electricity,0.0
112,Y4,17,reg1,Final_electricity,0.0
113,Y4,18,reg1,Final_electricity,0.0
114,Y4,19,reg1,Final_electricity,0.0
115,Y4,20,reg1,Final_electricity,0.0
116,Y4,21,reg1,Final_electricity,0.0
117,Y4,22,reg1,Final_electricity,0.0
118,Y4,23,reg1,Final_electricity,0.0
119,Y4,24,reg1,Final_electricity,0.0
120,Y5,1,reg1,Final_electricity,0.0
121,Y5,2,reg1,Final_electricity,0.0
122,Y5,3,reg1,Final_electricity,0.0
123,Y5,4,reg1,Final_electricity,0.0
124,Y5,5,reg1,Final_electricity,0.0
125,Y5,6,reg1,Final_electricity,0.0
126,Y5,7,reg1,Final_electricity,0.0
127,Y5,8,reg1,Final_electricity,0.0
128,Y5,9,reg1,Final_electricity,0.0
129,Y5,10,reg1,Final_electricity,0.0
130,Y5,11,reg1,Final_electricity,0.0
131,Y5,12,reg1,Final_electricity,0.0
132,Y5,13,reg1,Final_electricity,0.0
133,Y5,14,reg1,Final_electricity,0.0
134,Y5,15,reg1,Final_electricity,0.0
135,Y5,16,reg1,Final_electricity,0.0
136,Y5,17,reg1,Final_electricity,0.0
137,Y5,18,reg1,Final_electricity,0.0
138,Y5,19,reg1,Final_electricity,0.0
139,Y5,20,reg1,Final_electricity,0.0
140,Y5,21,reg1,Final_electricity,0.0
141,Y5,22,reg1,Final_electricity,0.0
142,Y5,23,reg1,Final_electricity,0.0
143,Y5,24,reg1,Final_electricity,0.0
144,Y6,1,reg1,Final_electricity,0.0
145,Y6,2,reg1,Final_electricity,0.0
146,Y6,3,reg1,Final_electricity,0.0
