,Datetime,Region,Technology,Emission,Value
0,2019,reg1,Coal_supply,CO2,0.0
1,2020,reg1,Coal_supply,CO2,0.0
2,2021,reg1,Coal_supply,CO2,0.0
3,2022,reg1,Coal_supply,CO2,0.0
4,2023,reg1,Coal_supply,CO2,0.0
5,2024,reg1,Coal_supply,CO2,0.0
6,2025,reg1,Coal_supply,CO2,0.0
7,2026,reg1,Coal_supply,CO2,0.0
8,2027,reg1,Coal_supply,CO2,0.0
9,2028,reg1,Coal_supply,CO2,0.0
10,2029,reg1,Coal_supply,CO2,0.0
11,2030,reg1,Coal_supply,CO2,0.0
12,2019,reg1,Diesel_supply,CO2,0.0
13,2020,reg1,Diesel_supply,CO2,0.0
14,2021,reg1,Diesel_supply,CO2,0.0
15,2022,reg1,Diesel_supply,CO2,0.0
16,2023,reg1,Diesel_supply,CO2,0.0
17,2024,reg1,Diesel_supply,CO2,0.0
18,2025,reg1,Diesel_supply,CO2,0.0
19,2026,reg1,Diesel_supply,CO2,0.0
20,2027,reg1,Diesel_supply,CO2,0.0
21,2028,reg1,Diesel_supply,CO2,0.0
22,2029,reg1,Diesel_supply,CO2,0.0
23,2030,reg1,Diesel_supply,CO2,0.0
24,2019,reg1,Oil_supply,CO2,0.0
25,2020,reg1,Oil_supply,CO2,0.0
26,2021,reg1,Oil_supply,CO2,0.0
27,2022,reg1,Oil_supply,CO2,0.0
28,2023,reg1,Oil_supply,CO2,0.0
29,2024,reg1,Oil_supply,CO2,0.0
30,2025,reg1,Oil_supply,CO2,0.0
31,2026,reg1,Oil_supply,CO2,0.0
32,2027,reg1,Oil_supply,CO2,0.0
33,2028,reg1,Oil_supply,CO2,0.0
34,2029,reg1,Oil_supply,CO2,0.0
35,2030,reg1,Oil_supply,CO2,0.0
36,2019,reg1,Biofuel_supply,CO2,0.0
37,2020,reg1,Biofuel_supply,CO2,0.0
38,2021,reg1,Biofuel_supply,CO2,0.0
39,2022,reg1,Biofuel_supply,CO2,0.0
40,2023,reg1,Biofuel_supply,CO2,0.0
41,2024,reg1,Biofuel_supply,CO2,0.0
42,2025,reg1,Biofuel_supply,CO2,0.0
43,2026,reg1,Biofuel_supply,CO2,0.0
44,2027,reg1,Biofuel_supply,CO2,0.0
45,2028,reg1,Biofuel_supply,CO2,0.0
46,2029,reg1,Biofuel_supply,CO2,0.0
47,2030,reg1,Biofuel_supply,CO2,0.0
48,2019,reg1,Hydro_PP_1,CO2,0.0
49,2020,reg1,Hydro_PP_1,CO2,0.0
50,2021,reg1,Hydro_PP_1,CO2,0.0
51,2022,reg1,Hydro_PP_1,CO2,0.0
52,2023,reg1,Hydro_PP_1,CO2,0.0
53,2024,reg1,Hydro_PP_1,CO2,0.0
54,2025,reg1,Hydro_PP_1,CO2,0.0
55,2026,reg1,Hydro_PP_1,CO2,0.0
56,2027,reg1,Hydro_PP_1,CO2,0.0
57,2028,reg1,Hydro_PP_1,CO2,0.0
58,2029,reg1,Hydro_PP_1,CO2,0.0
59,2030,reg1,Hydro_PP_1,CO2,0.0
60,2019,reg1,Hydro_PP_2,CO2,0.0
61,2020,reg1,Hydro_PP_2,CO2,0.0
62,2021,reg1,Hydro_PP_2,CO2,0.0
63,2022,reg1,Hydro_PP_2,CO2,0.0
64,2023,reg1,Hydro_PP_2,CO2,0.0
65,2024,reg1,Hydro_PP_2,CO2,0.0
66,2025,reg1,Hydro_PP_2,CO2,0.0
67,2026,reg1,Hydro_PP_2,CO2,0.0
68,2027,reg1,Hydro_PP_2,CO2,0.0
69,2028,reg1,Hydro_PP_2,CO2,0.0
70,2029,reg1,Hydro_PP_2,CO2,0.0
71,2030,reg1,Hydro_PP_2,CO2,0.0
72,2019,reg1,Hydro_PP_3,CO2,0.0
73,2020,reg1,Hydro_PP_3,CO2,0.0
74,2021,reg1,Hydro_PP_3,CO2,0.0
75,2022,reg1,Hydro_PP_3,CO2,0.0
76,2023,reg1,Hydro_PP_3,CO2,0.0
77,2024,reg1,Hydro_PP_3,CO2,0.0
78,2025,reg1,Hydro_PP_3,CO2,0.0
79,2026,reg1,Hydro_PP_3,CO2,0.0
80,2027,reg1,Hydro_PP_3,CO2,0.0
81,2028,reg1,Hydro_PP_3,CO2,0.0
82,2029,reg1,Hydro_PP_3,CO2,0.0
83,2030,reg1,Hydro_PP_3,CO2,0.0
84,2019,reg1,Hydro_PP_4,CO2,0.0
85,2020,reg1,Hydro_PP_4,CO2,0.0
86,2021,reg1,Hydro_PP_4,CO2,0.0
87,2022,reg1,Hydro_PP_4,CO2,0.0
88,2023,reg1,Hydro_PP_4,CO2,0.0
89,2024,reg1,Hydro_PP_4,CO2,0.0
90,2025,reg1,Hydro_PP_4,CO2,0.0
91,2026,reg1,Hydro_PP_4,CO2,0.0
92,2027,reg1,Hydro_PP_4,CO2,0.0
93,2028,reg1,Hydro_PP_4,CO2,0.0
94,2029,reg1,Hydro_PP_4,CO2,0.0
95,2030,reg1,Hydro_PP_4,CO2,0.0
96,2019,reg1,Hydro_PP_5,CO2,0.0
97,2020,reg1,Hydro_PP_5,CO2,0.0
98,2021,reg1,Hydro_PP_5,CO2,0.0
99,2022,reg1,Hydro_PP_5,CO2,0.0
100,2023,reg1,Hydro_PP_5,CO2,0.0
101,2024,reg1,Hydro_PP_5,CO2,0.0
102,2025,reg1,Hydro_PP_5,CO2,0.0
103,2026,reg1,Hydro_PP_5,CO2,0.0
104,2027,reg1,Hydro_PP_5,CO2,0.0
105,2028,reg1,Hydro_PP_5,CO2,0.0
106,2029,reg1,Hydro_PP_5,CO2,0.0
107,2030,reg1,Hydro_PP_5,CO2,0.0
108,2019,reg1,Hydro_PP_6,CO2,0.0
109,2020,reg1,Hydro_PP_6,CO2,0.0
110,2021,reg1,Hydro_PP_6,CO2,0.0
111,2022,reg1,Hydro_PP_6,CO2,0.0
112,2023,reg1,Hydro_PP_6,CO2,0.0
113,2024,reg1,Hydro_PP_6,CO2,0.0
114,2025,reg1,Hydro_PP_6,CO2,0.0
115,2026,reg1,Hydro_PP_6,CO2,0.0
116,2027,reg1,Hydro_PP_6,CO2,0.0
117,2028,reg1,Hydro_PP_6,CO2,0.0
118,2029,reg1,Hydro_PP_6,CO2,0.0
119,2030,reg1,Hydro_PP_6,CO2,0.0
120,2019,reg1,Hydro_PP_7,CO2,0.0
121,2020,reg1,Hydro_PP_7,CO2,0.0
122,2021,reg1,Hydro_PP_7,CO2,0.0
123,2022,reg1,Hydro_PP_7,CO2,0.0
124,2023,reg1,Hydro_PP_7,CO2,0.0
125,2024,reg1,Hydro_PP_7,CO2,0.0
126,2025,reg1,Hydro_PP_7,CO2,0.0
127,2026,reg1,Hydro_PP_7,CO2,0.0
128,2027,reg1,Hydro_PP_7,CO2,0.0
129,2028,reg1,Hydro_PP_7,CO2,0.0
130,2029,reg1,Hydro_PP_7,CO2,0.0
131,2030,reg1,Hydro_PP_7,CO2,0.0
132,2019,reg1,Hydro_PP_8,CO2,0.0
133,2020,reg1,Hydro_PP_8,CO2,0.0
134,2021,reg1,Hydro_PP_8,CO2,0.0
135,2022,reg1,Hydro_PP_8,CO2,0.0
136,2023,reg1,Hydro_PP_8,CO2,0.0
137,2024,reg1,Hydro_PP_8,CO2,0.0
138,2025,reg1,Hydro_PP_8,CO2,0.0
139,2026,reg1,Hydro_PP_8,CO2,0.0
140,2027,reg1,Hydro_PP_8,CO2,0.0
141,2028,reg1,Hydro_PP_8,CO2,0.0
142,2029,reg1,Hydro_PP_8,CO2,0.0
143,2030,reg1,Hydro_PP_8,CO2,0.0
144,2019,reg1,Hydro_PP_9,CO2,0.0
145,2020,reg1,Hydro_PP_9,CO2,0.0
146,2021,reg1,Hydro_PP_9,CO2,0.0
147,2022,reg1,Hydro_PP_9,CO2,0.0
148,2023,reg1,Hydro_PP_9,CO2,0.0
149,2024,reg1,Hydro_PP_9,CO2,0.0
150,2025,reg1,Hydro_PP_9,CO2,0.0
151,2026,reg1,Hydro_PP_9,CO2,0.0
152,2027,reg1,Hydro_PP_9,CO2,0.0
153,2028,reg1,Hydro_PP_9,CO2,0.0
154,2029,reg1,Hydro_PP_9,CO2,0.0
155,2030,reg1,Hydro_PP_9,CO2,0.0
156,2019,reg1,Hydro_PP_10,CO2,0.0
157,2020,reg1,Hydro_PP_10,CO2,0.0
158,2021,reg1,Hydro_PP_10,CO2,0.0
159,2022,reg1,Hydro_PP_10,CO2,0.0
160,2023,reg1,Hydro_PP_10,CO2,0.0
161,2024,reg1,Hydro_PP_10,CO2,0.0
162,2025,reg1,Hydro_PP_10,CO2,0.0
163,2026,reg1,Hydro_PP_10,CO2,0.0
164,2027,reg1,Hydro_PP_10,CO2,0.0
165,2028,reg1,Hydro_PP_10,CO2,0.0
166,2029,reg1,Hydro_PP_10,CO2,0.0
167,2030,reg1,Hydro_PP_10,CO2,0.0
168,2019,reg1,PV_PP,CO2,0.0
169,2020,reg1,PV_PP,CO2,0.0
170,2021,reg1,PV_PP,CO2,0.0
171,2022,reg1,PV_PP,CO2,0.0
172,2023,reg1,PV_PP,CO2,0.0
173,2024,reg1,PV_PP,CO2,0.0
174,2025,reg1,PV_PP,CO2,0.0
175,2026,reg1,PV_PP,CO2,0.0
176,2027,reg1,PV_PP,CO2,0.0
177,2028,reg1,PV_PP,CO2,0.0
178,2029,reg1,PV_PP,CO2,0.0
179,2030,reg1,PV_PP,CO2,0.0
180,2019,reg1,Commited_hydro_PP,CO2,0.0
181,2020,reg1,Commited_hydro_PP,CO2,0.0
182,2021,reg1,Commited_hydro_PP,CO2,0.0
183,2022,reg1,Commited_hydro_PP,CO2,0.0
184,2023,reg1,Commited_hydro_PP,CO2,0.0
185,2024,reg1,Commited_hydro_PP,CO2,0.0
186,2025,reg1,Commited_hydro_PP,CO2,0.0
187,2026,reg1,Commited_hydro_PP,CO2,0.0
188,2027,reg1,Commited_hydro_PP,CO2,0.0
189,2028,reg1,Commited_hydro_PP,CO2,0.0
190,2029,reg1,Commited_hydro_PP,CO2,0.0
191,2030,reg1,Commited_hydro_PP,CO2,0.0
192,2019,reg1,Commited_PV_PP,CO2,0.0
193,2020,reg1,Commited_PV_PP,CO2,0.0
194,2021,reg1,Commited_PV_PP,CO2,0.0
195,2022,reg1,Commited_PV_PP,CO2,0.0
196,2023,reg1,Commited_PV_PP,CO2,0.0
197,2024,reg1,Commited_PV_PP,CO2,0.0
198,2025,reg1,Commited_PV_PP,CO2,0.0
199,2026,reg1,Commited_PV_PP,CO2,0.0
200,2027,reg1,Commited_PV_PP,CO2,0.0
201,2028,reg1,Commited_PV_PP,CO2,0.0
202,2029,reg1,Commited_PV_PP,CO2,0.0
203,2030,reg1,Commited_PV_PP,CO2,0.0
204,2019,reg1,Commited_wind_PP,CO2,0.0
205,2020,reg1,Commited_wind_PP,CO2,0.0
206,2021,reg1,Commited_wind_PP,CO2,0.0
207,2022,reg1,Commited_wind_PP,CO2,0.0
208,2023,reg1,Commited_wind_PP,CO2,0.0
209,2024,reg1,Commited_wind_PP,CO2,0.0
210,2025,reg1,Commited_wind_PP,CO2,0.0
211,2026,reg1,Commited_wind_PP,CO2,0.0
212,2027,reg1,Commited_wind_PP,CO2,0.0
213,2028,reg1,Commited_wind_PP,CO2,0.0
214,2029,reg1,Commited_wind_PP,CO2,0.0
215,2030,reg1,Commited_wind_PP,CO2,0.0
216,2019,reg1,Commited_geo_PP,CO2,0.0
217,2020,reg1,Commited_geo_PP,CO2,0.0
218,2021,reg1,Commited_geo_PP,CO2,0.0
219,2022,reg1,Commited_geo_PP,CO2,0.0
220,2023,reg1,Commited_geo_PP,CO2,0.0
221,2024,reg1,Commited_geo_PP,CO2,0.0
222,2025,reg1,Commited_geo_PP,CO2,0.0
223,2026,reg1,Commited_geo_PP,CO2,0.0
224,2027,reg1,Commited_geo_PP,CO2,0.0
225,2028,reg1,Commited_geo_PP,CO2,0.0
226,2029,reg1,Commited_geo_PP,CO2,0.0
227,2030,reg1,Commited_geo_PP,CO2,0.0
228,2019,reg1,New_hydro_PP,CO2,0.0
229,2020,reg1,New_hydro_PP,CO2,0.0
230,2021,reg1,New_hydro_PP,CO2,0.0
231,2022,reg1,New_hydro_PP,CO2,0.0
232,2023,reg1,New_hydro_PP,CO2,0.0
233,2024,reg1,New_hydro_PP,CO2,0.0
234,2025,reg1,New_hydro_PP,CO2,0.0
235,2026,reg1,New_hydro_PP,CO2,0.0
236,2027,reg1,New_hydro_PP,CO2,0.0
237,2028,reg1,New_hydro_PP,CO2,0.0
238,2029,reg1,New_hydro_PP,CO2,0.0
239,2030,reg1,New_hydro_PP,CO2,0.0
240,2019,reg1,New_PV_PP,CO2,0.0
241,2020,reg1,New_PV_PP,CO2,0.0
242,2021,reg1,New_PV_PP,CO2,0.0
243,2022,reg1,New_PV_PP,CO2,0.0
244,2023,reg1,New_PV_PP,CO2,0.0
245,2024,reg1,New_PV_PP,CO2,0.0
246,2025,reg1,New_PV_PP,CO2,0.0
247,2026,reg1,New_PV_PP,CO2,0.0
248,2027,reg1,New_PV_PP,CO2,0.0
249,2028,reg1,New_PV_PP,CO2,0.0
250,2029,reg1,New_PV_PP,CO2,0.0
251,2030,reg1,New_PV_PP,CO2,0.0
